label,m,x,y,z
0,0.0495063,0.003269144,0.003215385,0.007685398
0,0.320504582,-0.001161191,0.023145643,-0.026657388
0,0.36410714,-0.01977749,0.042478304,0.010504719
0,0.503211609,0.004269104,0.007225125,0.029577097
0,0.413903212,-0.03385574,-0.00295677,0.014236342
0,0.141996822,-0.007327861,0.014018525,0.020520802
0,0.031427899,0.000521053,-0.001522765,0.005000188
0,0.040224616,-9.63E-05,0.000814614,0.004826639
0,0.052238106,0.001072112,0.003611845,0.004539064
0,0.259213694,0.032399039,0.057484064,-0.047278175
0,0.340825246,0.031944799,0.05286518,-0.040957893
0,0.264548898,-0.023274227,0.036877277,-0.001545823
0,0.007916999,-3.82E-05,3.99E-05,0.00779762
0,0.007264941,-3.47E-05,1.69E-05,0.00719131
0,0.007356623,-3.93E-05,3.97E-05,0.007261842
0,0.007353625,-3.23E-05,3.50E-05,0.007298496
0,0.007346971,-4.34E-05,4.39E-05,0.007294969
0,0.007207958,-4.76E-05,3.02E-05,0.007151264
0,0.029447992,0.001037957,0.002387571,0.005040443
0,0.007185246,8.12E-05,0.0001507,0.007097577
0,0.006685381,5.77E-05,0.000101609,0.006576499
0,0.006732844,5.50E-05,9.50E-05,0.006683901
0,0.006639099,7.27E-05,0.000111195,0.006569486
0,0.00668154,5.93E-05,0.000112492,0.00664437
0,0.006616277,4.98E-05,0.000104512,0.00658028
0,0.00675156,6.10E-05,0.000116127,0.00671433
0,0.006712538,5.10E-05,0.000106348,0.006657611
0,0.006372212,5.29E-05,9.47E-05,0.006289474
0,0.024902992,0.00066565,0.001795006,0.005954827
0,0.007031549,0.000141884,0.000134865,0.006288323
0,0.006519473,0.000127804,-5.74E-06,0.006114351
0,0.006165706,0.000132909,4.95E-06,0.006128043
0,0.006227544,0.000120013,-1.28E-05,0.006190683
0,0.006247187,0.000126447,9.92E-06,0.006190015
1,0.006677792,0.000139942,2.35E-05,0.006245331
1,0.006399559,0.000121517,5.85E-07,0.006362398
1,0.006433631,0.000133779,-6.62E-06,0.006395595
1,0.006629739,0.000121893,4.28E-06,0.006589513
1,0.006551732,0.000122749,4.78E-06,0.006509004
1,0.039832692,-1.40E-05,0.00147534,0.002731327
1,0.010639838,0.000747337,0.00042112,0.004033591
1,0.004454487,-1.45E-05,-1.27E-05,0.004401733
1,0.005053089,-6.64E-06,5.66E-06,0.005005055
1,0.004897498,-2.18E-05,2.23E-05,0.004841634
1,0.00656664,1.35E-05,7.20E-05,0.006326013
1,0.006556947,-1.53E-05,2.51E-05,0.006522171
1,0.006582874,4.87E-06,2.82E-05,0.006545791
1,0.032574197,0.004935993,0.004038458,0.005955316
1,0.093331903,0.000959023,0.00269175,-0.012243818
1,0.376479097,0.001628389,0.025839189,-0.056042386
1,0.202624826,0.007134739,0.001710585,0.011952714
1,0.217708805,-0.00759672,0.008065741,-0.00689154
1,0.532421637,-0.020252381,0.030842794,-0.034837469
1,0.509975584,-0.085502778,0.046443233,-0.124070906
1,0.49492404,-0.052517815,0.032395238,-0.063208855
1,0.493973924,0.046250271,0.031111712,-0.026325344
1,0.61146462,-0.090226071,0.128707896,0.029306225
1,0.922780933,-0.376339871,0.160867711,0.031919173
1,0.220617065,-0.027982373,-0.002001149,0.022380911
1,0.1635379,0.001356224,-0.008947891,-0.00825401
1,0.112399207,0.004406033,-0.001855428,0.002935324
1,0.076963577,-0.001235067,-0.003019779,0.002902903
1,0.060297892,0.00365985,-0.006588594,0.003067809
1,0.029777692,0.001846344,-0.002220753,0.002815914
1,0.036091294,0.001975334,-0.003563492,0.003390288
1,0.043163996,-0.000628148,-0.002280727,0.004870578
1,0.066996933,0.001419616,-0.001625319,0.003860435
1,0.06112286,0.000679173,-0.002726363,0.004036704
1,0.059255848,-0.000149843,-0.002469208,0.001975538
1,0.074815711,0.001289434,0.004332157,0.002519023
1,0.094358528,0.005041435,0.00359908,0.005575905
1,0.029230034,0.000108669,0.001760205,0.002510779
1,0.030007899,0.000348191,0.001211566,0.001757671
1,0.034241415,0.000507667,0.001956424,0.001596198
1,0.042093366,-0.000643099,0.001840363,0.001904239
1,0.056882547,0.001226494,0.001017718,0.001596866
1,0.066581587,0.00252303,0.003143553,0.001814859
1,0.171093619,-0.008685565,0.005912931,-0.009634113
1,0.118534667,-8.46E-05,-6.56E-05,-0.009043347
1,0.123272158,-0.004772703,0.006938116,-0.000215581
1,0.242750595,-0.045994317,0.036526619,-0.000989678
1,0.404392907,-0.031397827,0.051386735,0.056402256
1,0.50203953,0.172727339,0.012707686,0.108754804
1,0.154697785,0.028103363,0.002286923,0.018114623
1,0.032493578,-0.000719624,-0.000731712,-0.000876284
1,0.071144509,-0.003912743,0.000515835,-0.000445352
1,0.034521462,-0.000133507,0.001717276,0.003886004
1,0.019199674,0.00068991,0.00075939,0.003692396
1,0.028228617,-0.001217043,0.00017452,0.003885944
1,0.331402335,-0.023388432,0.027661412,-0.021196346
1,0.164268751,-0.024910675,0.005841258,-0.005471548
1,0.096781703,0.001352058,0.004414581,0.002270879
1,0.070036973,-0.002634468,0.000562356,-0.000651452
1,0.066376224,-0.001422043,0.001783702,0.00146613
1,0.068066725,0.000350971,0.001458488,0.000947651
1,0.082889978,-6.63E-05,0.003016252,0.002790579
1,0.335489013,-0.029623397,0.059349792,0.017398293
0,0.08688005,-0.001026617,0.003402066,0.000421842
0,0.029135653,0.00052335,0.001707038,0.001898204
0,0.008130318,-2.14E-05,-1.82E-05,0.004229246
0,0.010693663,8.54E-05,-0.000205222,0.005387424
0,0.010832278,-6.32E-05,-9.30E-05,0.004386842
0,0.009454743,-7.87E-05,-3.61E-05,0.005684464
0,0.006448087,4.18E-07,-5.77E-05,0.005205096
0,0.035433601,0.000874049,0.001408232,0.003972984
0,0.039282723,0.002339912,0.002184733,0.004138053
0,0.007868037,6.20E-05,-0.000107458,0.004934134
0,0.007131455,4.81E-05,-8.49E-05,0.005019224
0,0.063821915,0.001923042,0.004924775,0.002818132
0,0.032380216,0.001099144,0.002005807,0.003879047
0,0.006805347,2.32E-05,2.93E-05,0.00474505
0,0.006901133,7.74E-05,-3.63E-05,0.004941968
0,0.00789342,8.84E-05,6.60E-05,0.005632171
0,0.008744793,4.82E-05,2.48E-05,0.005872551
0,0.009271224,4.45E-05,4.89E-06,0.005857519
0,0.055793485,0.00213545,0.004479653,0.004156445
0,0.061144036,0.002960171,0.004645948,0.00148419
0,0.024948428,0.000640769,0.000780263,0.003472452
0,0.01011139,1.08E-05,-5.42E-05,0.003444089
0,0.01312478,0.000299582,0.000378734,0.004405118
0,0.013726273,4.46E-05,0.000287135,0.004401441
0,0.029867259,0.000683232,0.000701879,0.004108937
0,0.037994895,0.002944256,0.0020816,0.003890852
0,0.024437886,0.000511155,0.001505264,0.003650616
0,0.268185155,-0.024011552,0.027840025,0.000501964
0,0.374131468,-0.094046261,0.042455242,-0.024367147
0,0.255491489,0.019721245,0.021276102,-0.01320633
0,0.111642257,0.00883325,0.006407226,0.001828759
0,0.170030387,-0.003510132,0.003810758,0.008506351
0,0.17280274,0.005536419,0.014368324,-0.000363372
0,0.2977411,-0.035792774,0.019702924,0.013842189
0,0.928631868,-0.282039236,0.072295323,0.154665755
0,0.136021802,-0.032819591,-0.026422515,0.014177423
0,0.007866898,-0.00014718,-0.000146679,0.007804762
0,0.007751405,-0.000117777,-0.000137665,0.007716085
0,0.030236495,-0.000265894,0.002399666,0.006820363
0,0.015749011,0.001674838,0.000954604,0.005997682
0,0.007273062,0.001680217,-0.000281972,0.007036056
0,0.0074064,0.001728995,-0.000285628,0.007159724
0,0.007679827,0.001775183,-0.000320347,0.007371235
0,0.00735461,0.00172722,-0.000269083,0.007109045
0,0.032268491,0.000451399,0.002250898,0.005805616
0,0.027627045,0.0005327,0.003456206,0.005572754
0,0.00513196,0.000146,0.000129329,0.005067266
0,0.005063119,0.000126614,0.000122457,0.005012868
0,0.005198065,0.000120618,0.000126259,0.005147044
0,0.00530081,0.000134642,0.00011896,0.00525473
0,0.005638208,0.000134134,0.000134427,0.005590203
0,0.00551582,0.000133855,0.000114787,0.005472556
0,0.011974016,0.000689764,0.000682306,0.005488155
0,0.047808661,-0.000342932,0.004116914,0.005554249
0,0.042554611,0.00168247,0.003926452,0.005207313
0,0.076766834,-0.003871611,0.007772237,0.004021141
0,0.136583477,-0.018509549,0.016895696,0.00467033
0,0.772676262,-0.26561807,0.033906998,-0.018197138
0,0.342145198,-0.055663245,0.043344934,-0.050102111
0,0.158181824,0.010814539,0.001578797,-0.008065845
0,0.070019615,0.001311257,-0.000830138,-0.001892753
0,0.02956124,-0.000692083,-0.001100439,0.000738417
0,0.034508463,-0.001091165,-0.000688555,0.000922515
0,0.094591676,0.006921215,-0.00082464,-0.003314324
0,0.083464616,0.001986842,0.002887698,0.00776934
0,0.246461563,0.016508899,0.013174159,-0.016084312
0,0.129631542,0.001893964,0.00387076,0.001853571
0,0.11311364,-0.00289578,0.003138208,0.000201817
0,0.058995704,-0.000589248,-0.001078685,0.000849207
0,0.087964826,-5.40E-05,0.000715688,-0.002608565
0,0.071334509,0.002728363,-0.000889912,-0.000529177
0,0.150244837,0.000440414,0.004960756,-0.007370489
0,0.076025744,0.005573324,-0.000527951,-0.003213725
0,0.112130825,-0.000652361,0.003424245,0.00021631
1,0.123082147,0.003770328,0.008661161,-0.000528043
1,0.048093224,-0.001487991,0.000877214,-0.000265769
1,0.11054919,-0.00081197,0.007652684,0.001354481
1,0.103679359,-0.002729455,-0.003399373,0.004180217
1,0.102846963,-0.001891956,0.006056644,-0.000649436
1,0.257685463,-0.061981165,0.034006327,0.011639716
1,0.127418001,-0.003061312,0.007842866,-0.001001191
1,0.179353857,-0.016383702,0.012911011,-0.004425407
1,0.058278679,0.000979315,0.002376891,0.002003656
1,0.110964602,-0.005180802,0.007709714,-2.17E-05
1,0.112875168,0.001572082,0.002765358,0.001819315
1,0.169568045,0.00550963,0.012329121,0.000177627
1,0.136157569,-0.005928473,0.009453917,0.000267245
1,0.153010026,-0.013453248,0.011505076,-0.010770274
1,0.200333057,-0.0104723,0.010549906,0.00589156
1,0.139771756,-0.001527396,0.003525517,0.01034527
1,0.149800506,-0.015038688,0.020766493,0.009636244
1,0.256939671,0.020330846,0.011292038,0.014861317
